beneficiary_id,project_id,country,region,aid_type,distribution_date,amount_usd,age,gender,household_size
B11412,P198,Uganda,Dar es Salaam,Cash Transfer,2024-01-23,172.79,49.0,Male,1
B11564,P173,South Sudan,Kampala,Education Grant,2023-05-06,186.84,56.0,Male,6
B10203,P138,Uganda,Kisumu,Cash Transfer,2024-07-08,202.69,21.0,Male,6
B11407,P198,Kenya,Kisumu,Education Grant,2024-11-24,225.07,,Female,3
B10052,P162,Kenya,Addis Ababa,Water & Sanitation,2023-01-14,116.15,54.0,Female,6
B10705,P127,Kenya,Nairobi,Water & Sanitation,2023-07-07,180.3,52.0,Female,2
B10765,P188,South Sudan,Addis Ababa,Medical Support,2024-04-10,114.84,34.0,Male,11
B12516,P138,South Sudan,Dar es Salaam,Cash Transfer,2023-01-09,154.29,66.0,Male,5
B11775,P111,Tanzania,Juba,Education Grant,2023-07-12,84.0,79.0,Female,9
B12349,P150,Kenya,Dar es Salaam,Education Grant,2023-07-06,130.4,32.0,Female,7
B10149,P167,Uganda,Addis Ababa,Food Aid,2023-10-25,164.85,73.0,Male,11
B12874,P194,Tanzania,Dar es Salaam,Food Aid,2024-11-06,148.45,52.0,Male,5
B10423,P143,Ethiopia,Mombasa,Food Aid,2023-09-12,198.58,68.0,Male,4
B10175,P167,Tanzania,Juba,Medical Support,2024-06-28,191.36,44.0,Female,1
B10332,P112,Kenya,Addis Ababa,Education Grant,2024-06-16,153.79,23.0,Male,6
B12580,P187,Uganda,Addis Ababa,Food Aid,2024-05-10,168.61,25.0,Female,6
B10144,P178,South Sudan,Nairobi,Education Grant,2024-05-22,162.99,25.0,Male,6
B10044,P136,Ethiopia,Dar es Salaam,Education Grant,2024-05-24,1000.0,9.0,Female,6
B10325,P166,Tanzania,Nairobi,Medical Support,2023-04-29,89.29,48.0,Male,10
B11292,P148,Tanzania,Addis Ababa,Cash Transfer,2023-05-03,149.7,74.0,Female,8
B10322,P197,Tanzania,Addis Ababa,Food Aid,2023-09-08,109.09,53.0,Male,6
B11393,P118,Ethiopia,Dar es Salaam,Medical Support,2023-12-01,156.83,70.0,Female,5
B12959,P170,South Sudan,Addis Ababa,Food Aid,2024-11-21,94.69,23.0,Female,8
B10930,P128,South Sudan,Dar es Salaam,Education Grant,2023-04-21,122.24,45.0,Male,11
B10450,P159,Kenya,Nairobi,Medical Support,2024-02-09,146.87,58.0,Male,8
B10291,P131,Ethiopia,Nairobi,Food Aid,2023-11-01,125.35,45.0,Male,10
B11413,P174,South Sudan,Kampala,Food Aid,2023-07-01,258.25,31.0,Female,9
B11593,P172,Kenya,Addis Ababa,Medical Support,2023-01-01,195.2,52.0,Male,4
B12725,P119,Ethiopia,Mombasa,Cash Transfer,2023-10-13,150.18,43.0,Male,6
B11559,P189,Uganda,Nairobi,Cash Transfer,2024-02-20,136.44,48.0,Male,9
B11651,P126,Tanzania,Nairobi,Water & Sanitation,2023-06-15,166.29,6.0,Female,4
B10402,P178,South Sudan,Kampala,Water & Sanitation,2023-10-29,150.26,61.0,Female,10
B10695,P188,Uganda,Addis Ababa,Cash Transfer,2024-10-19,134.52,78.0,Male,10
B11505,P132,Kenya,Juba,Water & Sanitation,2023-02-19,127.34,32.0,Female,2
B12442,P182,Tanzania,Mombasa,Medical Support,2024-08-16,85.39,73.0,Male,11
B11084,P162,Ethiopia,Dar es Salaam,Water & Sanitation,2024-09-22,169.1,58.0,Female,7
B11947,P166,Tanzania,Dar es Salaam,Water & Sanitation,2023-11-30,148.54,44.0,Male,10
B11677,P153,South Sudan,Mombasa,Cash Transfer,2024-03-26,226.07,71.0,Female,10
B12436,P118,Kenya,Addis Ababa,Water & Sanitation,2023-06-12,143.43,23.0,Female,5
B11880,P103,Uganda,Kampala,Education Grant,2024-11-08,198.24,18.0,Female,3
B12550,P198,Tanzania,Addis Ababa,Cash Transfer,2024-11-21,70.7,19.0,Male,9
B12458,P169,South Sudan,Kampala,Food Aid,2023-12-25,174.98,33.0,Male,10
B11392,P104,Kenya,Kisumu,Education Grant,2024-05-06,250.67,30.0,Female,11
B12308,P164,South Sudan,Dar es Salaam,Education Grant,2024-09-06,176.73,31.0,Female,1
B11090,P146,Ethiopia,Juba,Medical Support,2023-07-18,146.42,52.0,male,9
B12881,P160,Ethiopia,Mombasa,Medical Support,2023-08-04,43.96,77.0,Male,1
B11804,P111,Uganda,Juba,Education Grant,2024-02-27,59.84,14.0,Female,6
B11192,P119,South Sudan,Kampala,Medical Support,2023-09-08,119.93,30.0,Male,1
B10093,P116,Tanzania,Kisumu,Food Aid,2024-12-30,133.62,37.0,F,6
B12383,P144,South Sudan,Juba,Cash Transfer,2023-07-31,147.57,52.0,Male,10
B10651,P133,Tanzania,Juba,Food Aid,2023-02-13,206.33,12.0,Female,11
B10063,P148,Tanzania,Kisumu,Education Grant,2024-04-09,90.19,20.0,Female,4
B11566,P191,Uganda,Juba,Water & Sanitation,2023-08-22,153.35,12.0,male,2
B12972,P192,Ethiopia,Juba,Food Aid,2024-11-04,81.58,14.0,Female,3
B12659,P159,Uganda,Dar es Salaam,Education Grant,2023-01-10,177.66,45.0,Female,7
B12440,P150,Kenya,Nairobi,Medical Support,2023-05-10,237.48,47.0,Male,4
B10555,P195,South Sudan,Addis Ababa,Education Grant,2023-03-09,129.41,38.0,Female,11
B10299,P121,Uganda,Juba,Water & Sanitation,2024-07-23,181.48,56.0,Female,6
B10000,P167,Tanzania,Juba,Education Grant,2024-10-15,174.84,18.0,Female,10
B11027,P119,Uganda,Mombasa,Education Grant,2023-09-28,156.0,56.0,Female,10
B12413,P133,Ethiopia,Addis Ababa,Medical Support,2023-08-20,104.12,42.0,Female,7
B11391,P110,Kenya,Mombasa,Food Aid,2023-11-30,116.11,66.0,Female,2
B11273,P155,Kenya,Nairobi,Medical Support,2024-06-24,134.18,50.0,M,7
B12162,P166,Tanzania,Juba,Food Aid,2024-03-16,174.91,78.0,Female,8
B11476,P157,Kenya,Nairobi,Education Grant,2024-08-10,143.95,46.0,female,10
B11533,P174,South Sudan,Kisumu,Education Grant,2023-01-11,-50.0,29.0,Female,5
B11442,P148,Tanzania,Juba,Water & Sanitation,2023-10-26,159.05,47.0,Female,4
B12034,P191,Kenya,Dar es Salaam,Water & Sanitation,2023-09-27,203.01,25.0,Male,8
B10139,P170,Ethiopia,Nairobi,Food Aid,2024-05-02,88.46,69.0,Female,5
B10298,P160,Ethiopia,Dar es Salaam,Water & Sanitation,2023-05-10,190.64,20.0,Male,4
B12499,P199,South Sudan,Kampala,Food Aid,2023-07-13,167.0,64.0,Female,9
B10014,P130,Tanzania,Kisumu,Medical Support,2024-04-01,63.75,29.0,Male,6
B11110,P156,Kenya,Juba,Cash Transfer,2023-04-26,140.47,67.0,Female,8
B10990,P158,Uganda,Dar es Salaam,Food Aid,2024-03-01,160.42,13.0,Female,9
B12553,P187,Tanzania,Mombasa,Cash Transfer,2024-07-08,169.48,71.0,Female,4
B12022,P147,Kenya,Mombasa,Cash Transfer,2023-01-11,218.03,64.0,Male,7
B12252,P113,Tanzania,Kampala,Cash Transfer,2023-06-11,77.44,39.0,Female,2
B12573,P140,Ethiopia,Dar es Salaam,Water & Sanitation,2023-09-30,147.49,58.0,Female,1
B10439,P153,Uganda,Nairobi,Education Grant,2024-04-30,147.22,44.0,Female,8
B11681,P105,Tanzania,Mombasa,Cash Transfer,2023-10-31,148.79,70.0,Male,11
B12631,P132,Tanzania,Kampala,Food Aid,2023-01-24,173.16,45.0,Male,11
B11702,P152,Tanzania,Kisumu,Education Grant,2023-04-09,181.74,69.0,M,2
B10621,P109,Kenya,Nairobi,Water & Sanitation,2024-07-01,173.57,19.0,Male,6
B12367,P192,South Sudan,Kampala,Water & Sanitation,2024-03-30,64.63,48.0,Male,5
B10256,P111,Kenya,Mombasa,Medical Support,2023-09-10,213.35,57.0,Female,10
